Predictor variable,Categorical,Sample average
bio1,false,-0.23416666228037616
bio12,false,263.96153846153845
bio15,false,71.48269521273097
bio18,false,103.84615384615384
bio19,false,36.92307692307692
bio2,false,12.046358842116149
bio3,false,29.708585739135742
bio4,false,1062.2514507587134
