x,y,species cloglog values
210.0,210.0,5.869749E-13
211.0,211.0,0.038724445
212.0,212.0,2.220446E-16
213.0,213.0,0.15324977
214.0,214.0,0.09174793
215.0,215.0,0.54263604
216.0,216.0,0.19524162
217.0,217.0,0.13517444
218.0,218.0,0.999489
219.0,219.0,0.01603014
220.0,220.0,9.652701E-11
221.0,221.0,0.002250151
222.0,222.0,0.018573435
223.0,223.0,1.0081072E-5
224.0,224.0,2.4302825E-4
225.0,225.0,0.04200444
226.0,226.0,0.024991022
227.0,227.0,0.0034092152
228.0,228.0,0.009944334
229.0,229.0,1.1979306E-13
230.0,230.0,0.0060968776
231.0,231.0,1.0049567E-6
232.0,232.0,3.0531133E-14
233.0,233.0,0.027140198
234.0,234.0,0.068779014
235.0,235.0,5.127997E-10
236.0,236.0,0.34984097
237.0,237.0,0.004435339
238.0,238.0,0.18081532
239.0,239.0,0.36167404
240.0,240.0,0.124863744
241.0,241.0,0.0028476298
242.0,242.0,1.5091262E-12
243.0,243.0,0.019850744
244.0,244.0,1.903155E-7
245.0,245.0,3.9744874E-12
246.0,246.0,0.4368932
247.0,247.0,0.002724883
248.0,248.0,0.027048437
249.0,249.0,6.532435E-4
250.0,250.0,0.06285185
251.0,251.0,1.6285273E-9
252.0,252.0,0.023099585
253.0,253.0,0.013045985
254.0,254.0,0.041070025
255.0,255.0,0.011143157
256.0,256.0,0.020692717
257.0,257.0,0.010219975
258.0,258.0,2.5494545E-4
259.0,259.0,1.6076231E-9
260.0,260.0,3.6615155E-13
261.0,261.0,2.2315483E-13
262.0,262.0,2.3003625E-7
263.0,263.0,2.3484959E-6
264.0,264.0,0.005843852
265.0,265.0,0.0034478158
266.0,266.0,6.761258E-14
267.0,267.0,1.111004E-5
268.0,268.0,1.3367813E-4
269.0,269.0,1.1545209E-11
270.0,270.0,0.0144002875
271.0,271.0,0.12528785
272.0,272.0,0.02921721
273.0,273.0,0.18926004
274.0,274.0,0.0
275.0,275.0,0.6448634
276.0,276.0,0.035142124
277.0,277.0,0.008577377
278.0,278.0,2.5818194E-5
279.0,279.0,0.0
280.0,280.0,0.4666762
281.0,281.0,0.018943558
282.0,282.0,9.0671365E-6
283.0,283.0,0.0046773604
284.0,284.0,3.2196468E-14
285.0,285.0,0.30015138
286.0,286.0,1.6317725E-11
287.0,287.0,0.03396335
288.0,288.0,0.003781234
289.0,289.0,0.003411533
290.0,290.0,0.016724896
291.0,291.0,1.110223E-16
292.0,292.0,0.12187339
293.0,293.0,7.4584783E-13
294.0,294.0,0.023487527
295.0,295.0,0.0033944906
296.0,296.0,0.044580396
297.0,297.0,0.0028029417
298.0,298.0,0.0010668737
299.0,299.0,0.11702561
300.0,300.0,0.047646735
301.0,301.0,8.238421E-6
302.0,302.0,0.03394077
303.0,303.0,1.8315973E-6
304.0,304.0,3.6173065E-10
305.0,305.0,3.987564E-7
306.0,306.0,0.7903278
307.0,307.0,1.2767565E-14
308.0,308.0,0.51863265
309.0,309.0,0.1808169
310.0,310.0,0.13388398
311.0,311.0,0.04804344
312.0,312.0,2.2016833E-12
313.0,313.0,0.23108113
314.0,314.0,0.0271504
315.0,315.0,8.384311E-4
316.0,316.0,0.0064675934
317.0,317.0,0.0014443605
318.0,318.0,4.0134178E-6
319.0,319.0,0.011116776
320.0,320.0,2.9976022E-15
