"Variable","Mean","SD","Min","Max"
"bio1",-0.14,3.56,-6.92,8.62
"bio2",12.04,0.61,10.26,13.78
"bio3",29.75,2.52,24.65,33.93
"bio4",1060.65,144.25,799.78,1314.56
"bio12",232.8,175.65,102,780
"bio15",70.34,30.32,35.71,115.8
"bio18",97.74,64.61,11,232
"bio19",32.02,42.94,4,211
