variable,x,y
bio1,-21.15704994201665,1.0598553490126505E-4
bio1,-21.050200741577196,1.0598553490126505E-4
bio1,-20.94335154113774,1.0598553490126505E-4
bio1,-20.83650234069829,1.0598553490126505E-4
bio1,-20.729653140258836,1.0598553490126505E-4
bio1,-20.622803939819384,1.0598553490126505E-4
bio1,-20.51595473937993,1.0598553490126505E-4
bio1,-20.409105538940477,1.0598553490126505E-4
bio1,-20.302256338501024,1.0598553490126505E-4
bio1,-20.19540713806157,1.0598553490126505E-4
bio1,-20.088557937622117,1.0598553490126505E-4
bio1,-19.981708737182664,1.0598553490126505E-4
bio1,-19.87485953674321,1.0598553490126505E-4
bio1,-19.768010336303757,1.0598553490126505E-4
bio1,-19.661161135864305,1.0598553490126505E-4
bio1,-19.55431193542485,1.0598553490126505E-4
bio1,-19.447462734985397,1.0598553490126505E-4
bio1,-19.340613534545945,1.0598553490126505E-4
bio1,-19.233764334106493,1.0598553490126505E-4
bio1,-19.126915133667037,1.0598553490126505E-4
bio1,-19.020065933227585,1.0598553490126505E-4
bio1,-18.913216732788133,1.0598553490126505E-4
bio1,-18.806367532348677,1.0598553490126505E-4
bio1,-18.699518331909225,1.0598553490126505E-4
bio1,-18.592669131469773,1.0598553490126505E-4
bio1,-18.485819931030317,1.0598553490126505E-4
bio1,-18.378970730590865,1.0598553490126505E-4
bio1,-18.272121530151413,1.0598553490126505E-4
bio1,-18.16527232971196,1.0598553490126505E-4
bio1,-18.058423129272505,1.0598553490126505E-4
bio1,-17.951573928833053,1.0598553490126505E-4
bio1,-17.8447247283936,1.0598553490126505E-4
bio1,-17.737875527954145,1.0598553490126505E-4
bio1,-17.631026327514693,1.0598553490126505E-4
bio1,-17.52417712707524,1.0598553490126505E-4
bio1,-17.417327926635785,1.0598553490126505E-4
bio1,-17.310478726196333,1.0598553490126505E-4
bio1,-17.20362952575688,1.0598553490126505E-4
bio1,-17.096780325317425,1.0598553490126505E-4
bio1,-16.989931124877973,1.0598553490126505E-4
bio1,-16.88308192443852,1.0598553490126505E-4
bio1,-16.776232723999065,1.0598553490126505E-4
bio1,-16.669383523559613,1.1083231947850436E-4
bio1,-16.56253432312016,1.2666717520914972E-4
bio1,-16.45568512268071,1.4463296975009143E-4
bio1,-16.348835922241253,1.6499700723215938E-4
bio1,-16.2419867218018,1.8805691797751933E-4
bio1,-16.13513752136235,2.1414548973552883E-4
bio1,-16.028288320922893,2.43631744524464E-4
bio1,-15.921439120483441,2.769258862826973E-4
bio1,-15.81458992004399,3.144842048641294E-4
bio1,-15.707740719604535,3.5681133158504963E-4
bio1,-15.600891519165081,4.044676898047328E-4
bio1,-15.49404231872563,4.580715612974018E-4
bio1,-15.387193118286177,5.183079629205167E-4
bio1,-15.280343917846723,5.859309458173811E-4
bio1,-15.17349471740727,6.617740727961063E-4
bio1,-15.066645516967817,7.46752368286252E-4
bio1,-14.959796316528363,8.418753859587014E-4
