variable,x,y
bio12,-615.3,0.009240737184882164
bio12,-600.2447999999999,0.009240737184882164
bio12,-585.1895999999999,0.009240737184882164
bio12,-570.1343999999999,0.009240737184882164
bio12,-555.0791999999999,0.009240737184882164
bio12,-540.024,0.009240737184882164
bio12,-524.9688,0.009240737184882164
bio12,-509.9136,0.009240737184882164
bio12,-494.85839999999996,0.009240737184882164
bio12,-479.80319999999995,0.009240737184882164
bio12,-464.74799999999993,0.009240737184882164
bio12,-449.6927999999999,0.009240737184882164
bio12,-434.6375999999999,0.009240737184882164
bio12,-419.58239999999995,0.009240737184882164
bio12,-404.52719999999994,0.009240737184882164
bio12,-389.472,0.009240737184882164
bio12,-374.41679999999997,0.009240737184882164
bio12,-359.36159999999995,0.009240737184882164
bio12,-344.30639999999994,0.009240737184882164
bio12,-329.2512,0.009240737184882164
bio12,-314.19599999999997,0.009240737184882164
bio12,-299.14079999999996,0.009240737184882164
bio12,-284.08559999999994,0.009240737184882164
bio12,-269.03039999999993,0.009240737184882164
bio12,-253.97519999999992,0.009240737184882164
bio12,-238.91999999999996,0.009240737184882164
bio12,-223.86479999999995,0.009240737184882164
bio12,-208.80959999999993,0.009240737184882164
bio12,-193.75439999999992,0.009240737184882164
bio12,-178.6991999999999,0.009240737184882164
bio12,-163.64399999999995,0.009240737184882164
bio12,-148.58879999999994,0.009240737184882164
bio12,-133.53359999999992,0.009240737184882164
bio12,-118.47839999999991,0.009240737184882164
bio12,-103.4231999999999,0.009240737184882164
bio12,-88.36799999999994,0.009240737184882164
bio12,-73.31279999999992,0.009240737184882164
bio12,-58.25759999999991,0.009240737184882164
bio12,-43.20240000000001,0.009240737184882164
bio12,-28.147199999999884,0.009240737184882164
bio12,-13.091999999999985,0.009240737184882164
bio12,1.9632000000001426,0.009240737184882164
bio12,17.018400000000042,0.01240056287497282
bio12,32.073600000000056,0.02984468638896942
bio12,47.12880000000007,0.07093055546283722
bio12,62.18400000000008,0.1635979264974594
bio12,77.2392000000001,0.3519483804702759
bio12,92.29440000000011,0.651218593120575
bio12,107.34960000000012,0.8460700511932373
bio12,122.40480000000014,0.8213621377944946
bio12,137.46000000000004,0.7951287627220154
bio12,152.51520000000016,0.7675902247428894
bio12,167.57040000000006,0.7389820218086243
bio12,182.6256000000002,0.7095470428466797
bio12,197.6808000000001,0.6795284748077393
