"species","longitude","latitude","year","month","basisOfRecord","coordinateUncertaintyInMeters","country","locality","occurrenceID"
"Capra sibirica",104.023345,43.518176,2024,4,"HUMAN_OBSERVATION",NA,"Mongolia",NA,"https://www.inaturalist.org/observations/215675469"
"Capra sibirica",103.19274,43.707364,2024,4,"HUMAN_OBSERVATION",NA,"Mongolia",NA,"https://www.inaturalist.org/observations/215675564"
"Capra sibirica",104.03486,43.49943,2024,4,"HUMAN_OBSERVATION",NA,"Mongolia",NA,"https://www.inaturalist.org/observations/215675472"
"Capra sibirica",78.176312,43.981318,2024,5,"HUMAN_OBSERVATION",8,"Kazakhstan",NA,"https://www.inaturalist.org/observations/214581494"
"Capra sibirica",103.11449,43.676685,2024,5,"HUMAN_OBSERVATION",NA,"Mongolia",NA,"https://www.inaturalist.org/observations/215675584"
"Capra sibirica",100.628374,44.934368,2024,5,"HUMAN_OBSERVATION",NA,"Mongolia",NA,"https://www.inaturalist.org/observations/215675637"
"Capra sibirica",77.163422,33.245747,2024,5,"HUMAN_OBSERVATION",4,"India",NA,"https://www.inaturalist.org/observations/222468030"
"Capra sibirica",101.738563,44.867878,2024,5,"HUMAN_OBSERVATION",500,"Mongolia",NA,"https://www.inaturalist.org/observations/222450888"
"Capra sibirica",76.91243,43.047073,2024,5,"HUMAN_OBSERVATION",4,"Kazakhstan",NA,"https://www.inaturalist.org/observations/215951342"
"Capra sibirica",104.065482,43.490517,2024,6,"HUMAN_OBSERVATION",2202,"Mongolia",NA,"https://www.inaturalist.org/observations/225032429"
"Capra sibirica",103.516044,43.95845,2024,6,"HUMAN_OBSERVATION",5000,"Mongolia",NA,"https://www.inaturalist.org/observations/222244861"
"Capra sibirica",87.154355,43.420596,2024,6,"HUMAN_OBSERVATION",147,"China",NA,"https://www.inaturalist.org/observations/222861039"
"Capra sibirica",100.900255,44.724121,2024,6,"HUMAN_OBSERVATION",977,"Mongolia",NA,"https://www.inaturalist.org/observations/227618584"
"Capra sibirica",103.779167,43.634999,2024,6,"HUMAN_OBSERVATION",1574,"Mongolia",NA,"https://www.inaturalist.org/observations/230612955"
"Capra sibirica",78.046274,43.945187,2024,6,"HUMAN_OBSERVATION",1463,"Kazakhstan",NA,"https://www.inaturalist.org/observations/231357445"
"Capra sibirica",74.487257,42.550164,2024,6,"HUMAN_OBSERVATION",NA,"Kyrgyzstan",NA,"https://www.inaturalist.org/observations/232889947"
"Capra sibirica",76.901802,42.993328,2024,7,"HUMAN_OBSERVATION",244,"Kazakhstan",NA,"https://www.inaturalist.org/observations/228419902"
"Capra sibirica",77.073563,43.076808,2024,7,"HUMAN_OBSERVATION",NA,"Kazakhstan",NA,"https://www.inaturalist.org/observations/232421434"
"Capra sibirica",79.157545,43.403326,2024,7,"HUMAN_OBSERVATION",NA,"Kazakhstan",NA,"https://www.inaturalist.org/observations/233153115"
"Capra sibirica",80.142761,42.411022,2024,7,"HUMAN_OBSERVATION",1076,"Kazakhstan",NA,"https://www.inaturalist.org/observations/233674665"
"Capra sibirica",80.019866,42.582882,2024,7,"HUMAN_OBSERVATION",1988,"Kazakhstan",NA,"https://www.inaturalist.org/observations/233307315"
"Capra sibirica",80.130427,42.456387,2024,7,"HUMAN_OBSERVATION",488,"Kazakhstan",NA,"https://www.inaturalist.org/observations/234188286"
"Capra sibirica",80.124444,42.486389,2024,7,"HUMAN_OBSERVATION",NA,"Kazakhstan",NA,"https://www.inaturalist.org/observations/230973212"
