"species","longitude","latitude","year","month","basisOfRecord","coordinateUncertaintyInMeters","country","locality","occurrenceID"
"Capra sibirica",77.125854,34.288084,2013,2,"HUMAN_OBSERVATION",1000,"India","Jammu and Kashmir","https://observation.org/observation/79378658"
"Capra sibirica",77.134251,34.335638,2013,2,"HUMAN_OBSERVATION",10,"India","Jammu and Kashmir","https://observation.org/observation/73886048"
"Capra sibirica",77.241203,34.684822,2013,2,"HUMAN_OBSERVATION",977,"India",NA,"https://www.inaturalist.org/observations/168826442"
"Capra sibirica",77.144165,34.338072,2013,9,"HUMAN_OBSERVATION",100,"India","Jammu and Kashmir","https://observation.org/observation/81042209"
"Capra sibirica",77.0719,34.3259,2012,3,"HUMAN_OBSERVATION",1000,"India","Jammu and Kashmir","https://observation.org/observation/208037407"
"Capra sibirica",74.527452,37.735168,2012,7,"HUMAN_OBSERVATION",977,"Tajikistan",NA,"https://www.inaturalist.org/observations/203133738"
"Capra sibirica",77.096665,34.308863,2012,9,"HUMAN_OBSERVATION",1000,"India","Jammu and Kashmir","https://observation.org/observation/71463280"
"Capra sibirica",77.132263,34.336632,2012,11,"HUMAN_OBSERVATION",1000,"India","Jammu and Kashmir","https://observation.org/observation/72559455"
"Capra sibirica",77.149145,34.336914,2012,11,"HUMAN_OBSERVATION",1000,"India","Jammu and Kashmir","https://observation.org/observation/103639555"
"Capra sibirica",77.155668,34.344426,2012,11,"HUMAN_OBSERVATION",100,"India","Jammu and Kashmir","https://observation.org/observation/103639665"
"Capra sibirica",77.113096,34.350095,2012,11,"HUMAN_OBSERVATION",100,"India","Jammu and Kashmir","https://observation.org/observation/103639669"
"Capra sibirica",74.443359,41.804078,2007,5,"HUMAN_OBSERVATION",1000,"Kyrgyzstan","Naryn","https://observation.org/observation/41532967"
"Capra sibirica",77.399217,41.74775,2007,7,"HUMAN_OBSERVATION",NA,"Kyrgyzstan",NA,"https://www.inaturalist.org/observations/68494473"
"Capra sibirica",78.099183,42.052656,2007,7,"HUMAN_OBSERVATION",NA,"Kyrgyzstan",NA,"https://www.inaturalist.org/observations/68495760"
"Capra sibirica",104.262311,43.432481,2005,7,"HUMAN_OBSERVATION",NA,"Mongolia",NA,"https://www.inaturalist.org/observations/15213934"
"Capra sibirica",102.891609,43.66925,2005,7,"HUMAN_OBSERVATION",250,"Mongolia","NP Gobi Gurwan Saichan, Felsschlucht",NA
"Capra sibirica",104.309692,43.655949,2005,8,"HUMAN_OBSERVATION",250,"Mongolia","Gobi-Camp bei Dalandzsadgad",NA
"Capra sibirica",104.034691,43.533367,2005,8,"HUMAN_OBSERVATION",250,"Mongolia","Yolyn Am Canyon (Geierschlucht)",NA
"Capra sibirica",76.387939,42.585445,2004,7,"HUMAN_OBSERVATION",250,"Kyrgyzstan","Kungei Ala-Too",NA
"Capra sibirica",77.755737,33.513919,1984,7,"HUMAN_OBSERVATION",1000,"India","Jammu and Kashmir","https://observation.org/observation/54893307"
"Capra sibirica",69.4657,35.2672,1965,6,"PRESERVED_SPECIMEN",NA,"Afghanistan","Panjir Tal, oberhalb Kachu, ca. 4000 m NN","http://id.zfmk.de/collection_ZFMK/224100307/1178442/356836"
"Capra sibirica",68.300003,34.989201,1965,7,"PRESERVED_SPECIMEN",13.12,"Afghanistan","Shibar Pass, 5 mi N","ed927a34-41d1-483c-b0f3-3e6a33d593b2"
"Capra sibirica",71.782829,36.716671,1965,8,"PRESERVED_SPECIMEN",11.95,"Afghanistan","Ishkashim, 12 mi E","b4b2847c-5d9d-4550-bde3-2bd438aab5a8"
"Capra sibirica",64.7757,35.9181,1964,8,"PRESERVED_SPECIMEN",NA,"Afghanistan","Höhle Koh-e-Zarmas, 17 km SE Maimana, ca. 1300 m NN","http://id.zfmk.de/collection_ZFMK/224100308/1178443/356837"
"Capra sibirica",77.577,34.1521,1963,NA,"PRESERVED_SPECIMEN",NA,"India","Ladakh, Leh","http://id.zfmk.de/collection_ZFMK/224100295/1178430/356819"
"Capra sibirica",71.600348,36.16377,1954,10,"PRESERVED_SPECIMEN",NA,"Pakistan","Y","MHNG-MAMO-912.094"
"Capra sibirica",77.7002,33.9127,1934,2,"PRESERVED_SPECIMEN",NA,"India","Ladakh, Hemis Shogpa","http://id.zfmk.de/collection_ZFMK/224100293/1178428/356815"
"Capra sibirica",76.6069,34.23,1934,10,"PRESERVED_SPECIMEN",NA,"India","Ladakh, Kanji","http://id.zfmk.de/collection_ZFMK/224100297/1178432/356822"
"Capra sibirica",83,43.633335,1925,8,"PRESERVED_SPECIMEN",NA,"China","Karaghai Tash (Kargaitash)","1af9a1b1-05ff-48ca-bfa0-13441db380d9"
"Capra sibirica",102.5,44.5,1922,7,"PRESERVED_SPECIMEN",NA,"Mongolia","Arts Bogd Uul Mts","94874738-a6a0-436c-83c1-8396e784c1ed"
"Capra sibirica",102.066673,44.583328,1922,7,"PRESERVED_SPECIMEN",82.28,"Mongolia","Arts Bogd Uul Mts","a1ac7d14-3739-4052-b6bb-76b2df63cb8f"
"Capra sibirica",75.3178,42.8224,1912,2,"PRESERVED_SPECIMEN",NA,"Kyrgyzstan","nahe chinesischer Grenze, Tokmak","http://id.zfmk.de/collection_ZFMK/224100302/1178437/356827"
"Capra sibirica",75.1669,35.718,1912,NA,"PRESERVED_SPECIMEN",NA,"Pakistan","Tormik Valley, Toglay/Toklay Nullah","http://n2t.net/ark:/65665/333e16dd8-9477-4570-aaf1-d33188c9ce31"
"Capra sibirica",76.8642,41.1046,1908,12,"PRESERVED_SPECIMEN",NA,"Kyrgyzstan","Aksai-Fluss, S Naryn, chinesische Grenze","http://id.zfmk.de/collection_ZFMK/224106623/1187152/364762"
"Capra sibirica",75.9842,41.4265,1906,3,"PRESERVED_SPECIMEN",NA,"Kyrgyzstan","Semiretschenskaja, Fort Naryn","http://id.zfmk.de/collection_ZFMK/224100304/1178439/356831"
"Capra sibirica",77.3144,42.3965,1906,11,"PRESERVED_SPECIMEN",NA,"Kyrgyzstan","Issyk-kul (See), Frochewalsk","http://id.zfmk.de/collection_ZFMK/224100298/1178433/356823"
"Capra sibirica",75.53,33.86,1883,NA,"PRESERVED_SPECIMEN",NA,"India","Y","MHNG-MAMO-863.061"
"Capra sibirica",69.08835,30.116188,NA,NA,"MATERIAL_SAMPLE",NA,"Pakistan",NA,"GBMNC75100-20"
"Capra sibirica",80.3472,42.7225,NA,NA,"PRESERVED_SPECIMEN",NA,"China","Y","MHNG-MAMO-764.083"
